year,code_amc,a_banana,y_banana,spei,tmp,pre,year2,tmp2,pre2,tmp_pre,tmp2_pre2
1974,1001.0,423.0,1274.2316784869977,0.5975511606374397,25.55099181007731,2044.447381557216,3896676,652.8531824786378,4179765.0959561565,52237.65830230243,2728772944.908106
1975,1001.0,3270.0,1794.4954128440368,0.663054213418748,25.761733212484515,2056.397188916085,3900625,663.6668981112277,4228769.398581976,52976.355759759295,2806494269.5845823
1976,1001.0,4120.0,1794.1747572815534,0.1420978912879989,25.674114941199846,1934.3860363406432,3904576,659.1601780139412,3741849.337589664,49663.649437661654,2466478075.466951
1977,1001.0,10347.0,1795.592925485648,0.9621162958780868,25.807902877121403,2071.176416197174,3908529,666.0478509149312,4289771.74701137,53452.71979060105,2857193253.012513
1978,1001.0,11204.0,487.7722242056408,0.9043001673123654,25.732029180013424,2068.013207973232,3912484,662.1373257210623,4276678.628351739,53214.17621222037,2831748549.9452415
1979,1001.0,13619.0,615.9776782436302,0.286402346537298,25.73302977551144,1913.94011992976,3916441,662.1888214273583,3663166.782676744,49251.47809469845,2425708094.512561
1980,1001.0,21889.0,803.0060761112887,1.952948207621365,25.714350461284432,2256.45225844775,3920400,661.2278196457589,5091576.794653951,58023.2041728822,3366692222.487974
1981,1001.0,24840.0,910.0644122383252,1.5970755006822126,25.586110458157894,2193.6210656098538,3924361,654.6490483770567,4811973.379487311,56126.230888035745,3150153793.6970973
1982,1001.0,27116.0,897.7725328219501,1.8080398531293584,25.805415142021506,2179.862978149068,3928324,665.9194506520728,4751802.603504925,56252.26910386005,3164317779.333089
1983,1001.0,31736.0,897.68716914545,0.2970066912091013,26.00616175594816,1947.849921294042,3932289,676.3204492765407,3794119.3158852053,50656.10012948375,2566040480.3282833
1984,1001.0,20726.0,898.3884975393225,-0.0244245085764343,26.022247142224405,1905.934090676456,3936256,677.1573463310062,3632584.758002689,49596.68794437348,2459831455.0515614
1985,1001.0,20282.0,914.702692042205,1.0532088807774789,26.17364310948099,2046.747594341678,3940225,685.0595936224818,4189175.714943446,53570.841069487855,2869835012.892327
1986,1001.0,19457.0,894.8964382998407,-0.3340899620453165,26.164418273201747,1822.1093062706104,3944196,684.5767835750535,3320082.323997965,47674.43002875772,2272851278.5669155
1987,1001.0,15151.0,812.3556200910831,-0.8473230041576703,26.616153594116987,1794.8941882082154,3948169,708.4196321456267,3221645.1468636286,47773.17939853778,2282276669.8448753
